,answer,keywords
1345,honshu,Japan island largest lake world tunnel Kyushu Tokyo mountain geography home city Biwa Kanmon Hokkaido Kyoto highest bridge area Alps Shikoku Fujiyama Widely Fukui central larch Osaka part asian main lie cover country earthquake referred located half mass populous range
2457,hook,Spielberg Peter Steven film Glenn Close David Crosby Pan Williams julia pirate movie role male John Oscar robin Wendy Tinkerbell Musician Gwyneth Paltrow Tickles version robert Banning fairy nice named fishing received costume included premise grew part glued chest fantasy
1060,hoover,president Food West vacuum Company Sweeper Born Suction Iowa Republican Commerce Harding Coolidge British Administration China Boxer Rebellion world Electric brand future Mississippi year mining Secretary chicken headed Depression Babe engineer american history trivia retire service sucked vote july verb
4108,hoover dam,Boulder Nevada City Arizona Lake Mead landmark Angeles paid Vegas america mortgage Beavis power year Located house worker seal facility engineering called speech presidential Erected Black Canyon Colorado River Department Water West century completed world finished depressing people history building
1837,hope,clinton bill Arkansas place called White Emily feather perch Great America born Pope diamond thing soul Partner nietzsche Birthplace eternal human spring quote Crosby Paul Raising poetry Alexander Essay Abandon William Howard Sackler Road Pandora Fairey Barack Obama Martha largest
4711,hopscotch,game jump kid England puck scotch scotland sidewalk foot sally hungary stuff leg hold number section play refers line file start throwing Success Roman Empire Illinois Hinkspiel German exercise word club snail called peever requires good balance skill tossing stone
3188,horace greeley,Tribune York Grant west colorado Colo newspaper publisher editor young lost Ulysses east thoreau presidential April twain Poultney Larry Union Jefferson Davis election term helped defeated american office vote died Nov. people century began vermonter future agent show bail careless
3438,horatio alger,Dick Ragged author century story Tattered book boy wrote rich american Tom Jan. Revere Strive Succeed Harvard James Garfield Canal President Luke Larkin Fortune minister published successful serialized tale synonym nonfiction janitor bildungsroman aimed literature series writing popular chronicler poverty
2911,horns,Michelangelo Moses Halfback Fred Gehrke head Biblical Pentaceratops cattle mistranslation sculpted football painted helmet rhinoceros polled hollow specie giraffe gnu Tattooed Enigma Satanic Zoologically Haiti Contrary French African Sumatran Indian Javan Angus Revelation Kudus viking Rams back named face flugel
277,horse,animal tennessee Robert Stonewall Jackson Stud General Called history dance Civil game hair breed Brady Thumb Eohippus Hippo flag Carl make song Virginia Dudley Nell Harris Victorian Originally Deriving Nathan Bedford Forrest English George Webster Stumpf Oskar Pfungst Clever Hans
4218,horse racing,Sport American woman Irish Barbara Rubin Julie Krone Held County Kildare Derby Royal Ascot Gold Turf Monthly sting job record win tout involved ride victory track breaking ireland year famous event cup magazine promoting Robert Shaw Secretariat Affirmed Seattle Slew
4510,horseradish,root pungent condiment Passover sauce herb made equine mustard letter prime Recipes Armoracia Creole Maror Raifort horse ground vinegar served food table club play relish sharp-tasting member family cookin cocktail call prepared type sense rusticana begin end flavored foodstuff accompanies
303,horses,animal powered famous america humpty king year Edgar Degas creature transportation back white Lincoln swap Charleston Hippomania Dick Sparrow Zearing Iowa Revelation Needles Middleground Native Dancer knight type crossing York City Farriers Arabian George England Germany Henry common bond ancient
3910,horseshoes,game Close backyard ringer count sport stake foot Ruth play metal leaner pastime Walter Williams Hangen George Bush White House Ornamental Middle Ages Footgear Secretariat record straight worth yard iron wrist-motion bowling scoring outdoor tossed woman single potpourri special target
4694,horton,Seuss Hatches elephant Egg Nool Hears character jungle title pachyderm small Oom-pahs Mayzie Palm Beach bird person beezle-nut trivia faithful kiddie tree day book o'clock lazy noise egg-hatching good-hearted lovable kind pourri favor sitting nest literature repeat matter murmured speck
3594,hot springs,arkansas park bathhouse national water preserved historic year state famous health resort federal reservation degree Behold city town bubble Billy enjoy relax Palatial Europe NASA Thornton Clinton West America early thermal population lived travel century million warm average bathing establishment
2929,houdini,escape magician Weiss King Encyclopedia Britannica hollywood haunt ruin artist Born March Spirits York October Detroit famous conjuring milk Ehrich Laurel Canyon Halloween Hills Handcuff Escapologists Patented Diver Fleischman Story Times stage fact ini nicknamed improved half entry book word
1792,house,Wilson Hugh Laurie architect show doctor roman king word title Acheta Spanish-speaking Nitty Dirt Band Pooh Corner Aretha Franklin Jack Built Kevin Life Vicodin-addicted Epps Jennifer Morrison Robert Sean Leonard Residence Lawrence Kutner Amber Volakis Gregory Hezekiah Safe Animal Lincoln
424,houston,Texas city space center Midnight Rockets Park Bush George mission control Gulf Mexico university Johnson home moon populous Flags Astroworld port largest area Dean Whitney NASA Buffalo Bayou Train Plane Cape Canaveral Martin Back Guinness Village Thelma Tranquility Rice Dungeon
2227,how i met your mother,sitcom Robin show Barney Mosby canadian Patrick finale Neil Harris Smulders Josh Radnor Scherbatsky character narrated episode suit Saget HIMYM story season flashback future Architect comedy title Designs Children Parent Acquainted Lily Aldrin Alyson Hannigan Marshall Eriksen Sparkles Sandcastles Sand
4528,how to succeed in business without really trying,musical Robert Morse broadway window Pulitzer Daniel Matthew Broderick Board October Sarah Effort Corporate Tony Chairman Jessica Parker Reach Commerce Field Sans True America Drama Succeed Pierrepont Finch satire Prize Radcliffe business company song show closed trivia performance picked star
3482,howard,Leslie Alpha Washington middle Stainer Wind Catherine Trevor Comic Chaykin Watergate Hunt Stooge Bunche Affairs Center Kappa university college Bureau library black founded Freedman Toni Morrison school film artist plumber part sorority Hughes Stern Medal Dean Director Hawks Ernest Spingarn
3831,howard cosell,Night Football Monday Guide year North Carolina sportscaster Frazier lawyer played trivia sport occupation stated case poll born Winston-Salem quit notable gained fame telling passed Boxing Bananas Jerk film Howard Cohen Turturro Muhammad Energized World Willie famous covered Late role
493,howard hughes,billionaire Terry american Houston Hell Angels Moore Melvin Dummar Jean recluse Desert died born Sands Frontier Landmark Jane Russell Playtex Director Outlaw Peters aviation made film Clifford Irving money world time eccentric hotel vega Acapulco mysterious Nevada flight Texas howard
3666,howard stern,Private Parts shock Robin Quivers Sirius radio film October Jersey King Media Mary Murder Stuttering John Jackie Joke Alison Fans Richard Gere wife late-night race refusing celebrity rest bared book howard million stand wrote trouble discussion network exposed recent autobiography
4390,howdy doody,puppet show kid anniversary Bill Smith Dally Bluster Buffalo Princess Summerfall Winterspring Judy Tyler Union West Marry Millionaire Howdy Peanut Ranger Canadian television series version time freckle-faced character head file subject custody battle owner bye greeting audience shatner duck dachshund
1497,hubert humphrey,Minnesota Senate vice Mondale Walter Democrat January president Scouts Chicago Education Public Man Department Health appointed elected Edmund Muriel Muskie running mate mayor Horatio Pres called guardsman named famous american politics attorney term widow visited capital leading fought convention nominated
660,huckleberry finn,twain Sawyer character Adventures Mark fictional book literary title Mississippi Life Finn Huck Douglas slave Widow Miss town runaway american Blankenship Watson banned raft drunkard Duke Critics Ernest Hemingway Sarah father hero read Aunt Sally Comrade King money living lawless
3903,hudson,Rhine state West America york Point river Tear Lake Clouds longest called water Adirondacks Germany Troy Albany European Delaware Half Moon henry Sing-Sing body side source wholly shore resemble predominantly bank run explore area Scotia Englishman Nova Chesapeake Woodstock Paltz
3785,hudson bay,Canadian body water Lakes North American Great world Manitoba Quebec hemisphere Measured shoreline geography discovered time Line combined Passage Nastapoka Hopewell Territories Churchill Foxe Channel Arctic Ocean Polar Ungava Peninsula Ontario Mariana Trench Hudson International large thought cover mapped year
1256,huey long,Louisiana Kingfish governor Carl Weiss Senate elected King history statuary hall Russell September american Baton Rouge Willie Stark assassination life shot income political National Long family century proposed guaranteed greatest margin talked literature modeled term slogan dewey vote huey office
3772,hugh grant,Hill Notting Weddings Funeral Englishman actor Freeman Mountain Music Lyrics played British french love bookstore role November Bridget film owner Months Andie Struggling William Thacker Uniacke Hornby Mickey Blue Eyes Lair White Worm Heart Sense Sensibility Simian Hurley Boy Jones
2989,hugh hefner,playboy January Carrie Leigh July Kimberley Conrad Miss publisher celebrity bunny Playmate Crystal hopped antique dealer quick announced mansion home Glenn Located american magazine hugh Hills Hospital Herbst General Barbi Benton Hef Mandy Clubs Chicago June Marilyn Monroe famous Puritan
5009,hugo,Notre Hunchback Dame Napoleon french award liszt Miserables sci-fi hurricane author South Carolina Cromwell Butterfield Cabret Petit Martin Scorsese Paris Amazing Gernsback Gabrielle Charleston Galaxy Astounding Science Fiction year book film prize literature great wrriten play title effort worse caused
4301,huguenots,French Protestants Edict Nantes Massacre shakespeare Paris Bartholomew thousand history Calvinists Louis America John England Puritans Janeiro Portuguese Henry London Mountjoys Written Gaspard Coligny follower Saint religious group start slaughter window march memorial world revoked fled called western hemisphere settler
2819,humidity,Term water heat Travel Measured Valley Houston vapor amount record science degree relative hair hygrometer average figure earth condition wing temperature percent rise summertime morning thermograph supersaturation determine small bat hibernate moisture forecast index learned woman magazine murder local level
3382,hummingbird,bird specie tiny smallest ruby-throated inch Aztec variety native critter size lay egg avian length scrambled DUMB Mississippi Florida BRING Cuba Huitzilopochtli Americas Busy ruby wild time served year rate lick calliope found east north bill sicklebill fit shape flower
3293,hummingbirds,bird small moth Trochilidae Anna fuchsia wing nature stokes family plant flap time butterfly hawk mistaken tiny feather attract hover Aztecs Gardeners America Beginner Guide Blue-throated Calliope phlox nasturtium hollyhock mortal believed dead warrior reborn swift drinking nectar insect capable
2277,humphrey bogart,Lauren Bacall Casablanca Largo wife Santana Sleep film star movie played huston rick Divorce Marry yacht role line Helen Menken Mayo Methot African Queen Affair Treasure Sierra Duke Mantee Petrified Forest Falcon Phillips Academy Frank Goodbye Marlowe Powell Mutiny actor
1986,humpty dumpty,Alice Glass rhyme time character Lewis Carroll looking-glass fall larger nursery great Mother Goose Threescore Drunken Jackass Copycat Stunt provoking called sitting Arrest Marc Blatte Turk ovoid shape wearing cravat scandalous meet mention summer winter handsome head childrens literature belt
110,hungary,country Magyar world Stephen european Soviet history king national Pest Austria Bela Imre Nagy Budapest Laszlo Buda dance year opera Janos Kadar Czardas Franz central Lake language November anthem Balaton Olympic Rubik saint Tokay city eastern revolution coat Joseph arm
3992,huntsville,Alabama city rocket Space Center Braun museum Half Panoply Civic Camp Nicknamed celebration home texas live daughter spacecraft served capital scientist made single send located travel tourism festival miss spring art find memorabilia Established George ville Tranquility Base University Marshall
2082,hurricanes,Atlantic storm miami Arlene Bret Cindy Bill Claudette University Florida weather recurrence team named cyclone proposed including grey change powerful tropical year scale survivor phenomenon forecast tornado Sept. Henriette June Island David Frederic Beaufort Iniki Andrew Hawaii Frances Ivan Jeanne
4403,hush puppies,cornmeal deep-fried fried food Small dog quiet dumpling Southern emeril shoe catfish drink Legend Miami Louisiana Comfy corn hungry canine logo american kiss scallion supposedly tossed make deep concoction meal named ability dress doggone classic suede color salad green snackin
3044,hyde park,London Corner Speakers park York Exhibition Westminster Diana town world roosevelt fair Prince Crystal Rotten Duke seek home named duel hunting place Mrs. Val-kill Cottage Albert Hudson River Henry VIII Abbey Jekyll Hamilton Mohun Great Springwood Estate Huntress Serpentine responsible
225,hydrogen,element water atom science mass helium universe abundant Cavendish Deuterium made chemistry isotope weight fuel space Henry Lavoisier star Greek inflammable periodic table called number Hindenburg French physic proton Jacques Large Germans Wasserstoff electron comet oil potential balloon nucleus William
3021,hyundai,Korean company Mitsubishi South Motors Elantra business industry automaker Pony Excel Sonata seoul automobile largest introduced manufactured acquired Scoupe Accent Jeff Bridges Genesis Tucson Chung Seoul-based Drive boost sale file vehicle year success end vowel auto sporty car major trek
1690,i,letter pronoun singular perfect nominative English vowel personal Self-congratulations Michigan capitalized literary Metaphysicians Claudius Jury Song Ambrose Bierce Theodore Roosevelt Montana Self-revealing Japanese John Gospel alphabet inaugural precedes goiter soup case grammar shortest language hodgepodge refer work king queen represents
1849,i love lucy,show television Lucy Love Ricky episode situation sitcom comedy classic October Total Larry Apartments character year Change Ricardos Ethel Vivian Vance William Frawley Fred re-ran title emmy series Club camera audience book winner film front call smash number screen original
1973,i.m. pei,architect designed Canton-born American Museum Center Hotel Beijing Chinese-American China Ieoh Ming Thomas National Atmospheric Research Boulder Morton Meyerson Symphony Dallas Xiangshan Syracuse Roll Hall Rock Fame Medal John Hancock Fragrant Tower citizen awarded studied baltimore middle people initial completed
585,iago,othello Shakespeare Desdemona villain Emilia Cassio character Iago Moor Roderigo lord Michael jealousy love monster wife green-eyed beware kill played term affined Brabantio judge Captured Christopher Walken Dreyfuss Raul Julia Matthau Poet Samuel Taylor line actor stab Thou scene bleed
1678,ian fleming,Bond James Live author British book Golden bestseller Casino Royale Napoleon Solo Americans Soviet SMERSH Valentine series jamaica created Chitty Bang Julius father crime literature published parliament stopper famous introduced organization biography english member fiction caviar Raymond Osetra Care Eyes
712,ibm,company computer Thomas business Watson giant Selectric industry microsoft introduced typewriter tech June Lotus Development Aptiva Solutions sign Planet biggest chairman Small firm Gerstner Thinkpad system Corporation apple technology home Founded american leap ambassador increased served chinese personal World Clue
1512,ibsen,Norwegian peer playwright Enemy People Gynt Scandinavian wrote play Wild Ghosts John theatre author Emperor Galilean Catalina Fletcher Goose Chase Duck Tony Randall Master Builder Suzannah Magdalene Thoresen Popular Lady Gabriel Borkman Hedda Chicago Oslo Public history drama afraid Doll
3325,icarus,Daedalus flew close mythological named island ballet asteroid melted solar system greek Serge Lifar Icare Aegean Labyrinth Objects Mercury Canova Ikaria Sicily figure wing plunged astronomy story supposed burial place reckless mistake nostalgic young mythic male man-wings smashed fall boom
970,ice,Frost slang criminal diamond year Lake word hotel pond baltic term specific taking Cleaver drink verb Quebec completes fire month contract Detroit Robert Siberia Scandinavia Thai Jukkasjarvi Sweden Frederic Tudor Massachusetts Related Jupiter Europa Eldridge Soul Klaipeda Lithuania Cryophobics Vostok
3213,ice age,Dawn Dinosaurs animated movie Meltdown series period film science Earth Chilly oscar began age Manny Geologists Studying Europe Louis Agassiz Scientists Romano John Leguizamo Denis Leary Diego Diedrich Bader Continental Drift Medieval Warm Scrat historical voiced mammoth saber-toothed sequel squirrel
2094,ice cream,dessert treat scream inca fannie National Navy William type Augustus Jackson Chunky Monkey Jerry Philadelphia French America Month July Breyer White Mountain food Called make flavor favorite product wwii trivia butterfat unusual business milk tuck ship sole purpose government standard
1213,ice hockey,sport team Soviet game winter Canada gold penalty September Manon Popular Whaler Army Dynamo Riga Rheaume Dave Tiger Williams Moose played Olympics line woman minute hall Bobby blue Jersey sudbury suit including goalie located face left wing offensive political trivia
70,iceland,Atlantic island country north world nation Europe denmark Reykjavik glacier Althing volcano largest Vigdis president mile people Vatnajokull Finnbogadottir June Surtsey Snorri Sturluson geography fire Greenland Scandinavians Great Named Leif Ericson Norway Akureyri Viking Britain Faxa Edda Hekla lava capital
3434,ichabod crane,Sleepy Hollow legend Irving Gunpowder Headless Horseman Washington character literary Brom Bones johnny depp teacher snipe ride schoolmaster broken-down huge ear long nose Katrina Tassel Jesse Merwin chased played named animal story century bird-like hero myth disembodied head pumpkin thrown
151,idaho,state river pacific potato National Coeur Spud Lake northwest Canyon Falls Moscow seal Moon Perce Salmon Boiseans d'Alene Lewiston Washington Craters county annual World Monument area odds event border Valley Twin part Famous union Exposition Pend american mile Stampede west
1756,idi amin,Ugandan dictator leader Saudi Arabia president world ruler African history heavyweight political coup February middle government 1951-60 estimated Amnesty Newsweek boxing champ east asylum power fled Sarah strongman killed wife Jan. Deposed July Born Obote Forest Daddy Koboko Milton Whitaker
4637,igneous,rock type Formed science earth Pumice basalt plutonic main general volcanic classified class divided extrusive major magma Feldspar cool sedimentary metamorphic molten deep matter variety lava igneous solidifies describing homework surface world granite love stop planet heat underground kind
4141,igor stravinsky,Firebird composer Rite music classical Spring Circus Sergei Diaghilev ballet Petrushka Paris june Requiem elephant Canticles Polka Vassily Mavra Fantasia Michael Tilson Thomas Persephone commissioned opera work Russian grammy season released ragtime addition collaborated producing major earlier score based danced
2540,ikea,Kamprad Ingvar Swedish store company furniture business founded Ytterlig Elmtaryd Agunnaryd Bemz Ektorp Leksvik Aspelund Bjursta Klubbo Internet Billy European initial wealthy chain made house list year retailer shelving table cent sustainable delivered forbes billionaire world people farmer flat pack
94,illinois,state Lincoln Prairie Land Sears Peoria city County River governor Rockford college Champaign Joliet John Indiana Iowa Rock reagan Mormons Museum Kentucky town university February Priest Located Louisiana Midwestern Moseley Braun Tampico Altgeld Riot america Nauvoo ronald home Adlai Stevenson
4600,imelda marcos,lady Philippine duke York shoe people pair Manila imported trivia ex-beauty bail million November black brassiere found closet international queen governor metropolitan current event judge day-Doris fled foreign Tonga woman left January Feb. Ferdinand Hawaii Times correction misstated size leaving
1942,impressionism,Monet Impression Sunrise movement style Claude Pissarro Term Louis Leroy Renoir french show artist Cezanne painting Debussy critic work Post exhibit ism titling supplied roger leader review Caillebotte Gauguin part coined called make Late Jeremy Similar Degas Seurat Grande Irons
3560,in cold blood,Capote Kansas Truman book Wilson Holcomb Robert Scott Blake family murder tarzan killer crime begin village stand high wheat plain western author Otto film literature american brutal title bestseller Preminger Swifty Lazar Edwards Eric Shakespeare Timon Athens Clutter Perry Smith
4491,in god we trust,motto coin phrase Madalyn Murray Florida state national currency Congress piece appeared money woman government obligatory removed made group O'Hair word designated serf hodgepodge Legislation ordered American gold Civil Gaudens Calling Teddy Roosevelt Saint Pledge Allegiance cash talk jokingly show
4984,inca,Peru Cuzco south indian American Quechua temple word empire Spaniards Connecticut Pachacuti civilization nation Atahualpa Ecuador Lima Quipu Hiram Bingham Machu Picchu Chanca Mama Quilla Peruvians Chimu history ruler defeat royalty mile catch executed originally language widely spoken mother tongue
3105,incas,American South Peru Indians Atahualpa people civilization Machu Picchu emperor word ancient origin century ruled religion built knot volcano Spanish Encyclopedia Huayna Capac Viracocha Quechua Mama Quilla Cuzco Ecuador Chile Argentina Quipu Misti Andes Archaeologists Cerro Victoria unlucky hair named
4723,independence,Missouri city Oregon Truman Santa Trails Jackson County Kansas California point presidential suburb starting library seat Reorganized Church Jesus Christ Harry Pennsylvania Virtue Feel home motto free birthday celebrated breaking word nickname called specifically began place headquarters midwest autonomous ground
2437,independence day,Smith alien pullman Earth invasion movie film July bill Jeff Goldblum Whitmore world holiday save president fight science fiction Twister Hiller blockbuster humanity hollywood called Randy Quaid Memorial Impossible Independence Day Thomas Army Frederick Douglass Captain Steven Born Richard Marine
2623,independence hall,philadelphia Pennsylvania building State House John Hancock constitution bill betsy Declaration Sept. September signed Liberty Articles hall Independence place brick national stairwell ratified stupid answer landmark year million people visit colonial museum inkstand ross helped freedom ring view reverse Primarily
6,india,Country world Asian nation state language Mogul Pakistan largest Great Pradesh Empire China Gandhi geography Million british history city people place religion Times travel Buddha Deccan found Punjabi Amritsar India populous Kipling part Sikkim population year border foreign Bharat Diamond
1995,indian ocean,Ocean Comoros water body world island Mauritius Zambezi Madagascar Republic seychelles africa lanka geography Arabian Java Trench lie river Bengal Limpopo Federal Mozambique Channel Mare Indicum Shatt Mogadishu Maldives Sunda country considered group east rule swimming swam arm empty ancient
118,indiana,state Wabash Hoosier city university River Bayh America south County Wayne Illinois Elkhart Gary Studebaker Purdue Ohio Fort world Evan Lake Bend Michigan Auburn capital Crossroads Vincennes Chicago national automobile Tippecanoe governor Kinsey border East midwestern Jackson song mile Kokomo
1804,indiana jones,movie Temple Connery character Harrison Ford Doom title Sean played hero Crusade Forbidden Incas Smithsonian Disneyland ride lost adventure fedora whip archaeologist pair film Secret leather jacket Chapman Andrews Indy Junior Hiram Bingham Machu Picchu Belloq Crystal Skull Committed Selleck
1319,indianapolis,capital state city indiana Hoosier speedway race museum American Legion Memorial Colts Crossroads Weekend nickname Amateur Midwest dome auto automobile famous world largest kid interstate newspaper Detroit Washington Eddie Rickenbacker Benjamin Harrison John Dillinger Athletic Union Railroad Frank Stephen Goldsmith
3202,indigo,blue color violet cotton synthetic plant deep largely jean wool BIV rainbow traditionally mood crayola history crop included colonial science original joined nature american king yield popular southern mnemonic put exam stand specie bunting considered visible spectrum shade aniline coal-tar
636,indira gandhi,prime minister India woman Sikh world leader Congress Nehru Party Jawaharlal history Amritsar bodyguard Oct. assassinated attack asian airport century daughter ordered Temple Allahabad Delhi shrine Golden Beant named Satwant international president democracy killed year future november holiest retaliation elected
64,indonesia,country island Jaya world nation Irian East Sumatra Timor Dutch West Borneo Suharto largest Asia president Javanese Southeast Sulawesi Indonesia people populous volcano language Malay million Guinea Komodo part Equator Bali group Jakarta Lake strait Sunda independence ethnic spoken Papua
2313,inflation,rate argentina Ford price March Germany Oct. Riyals Lithuania economic Extreme President Qatar expansion button worth whip roughly highest program federal reserve crowd annual stood year galloping dollar trillion fairly curtain allowable normal european history hyper event struck scientist universe
3879,ingmar bergman,Film Swedish director Magic Summer Smiles Night Lantern Uppsala Surprisingly Lutheran born persona Fanny Alexander movie wrote autobiography verge suicide father pastor chaplain royal family author birthplace enigmatic work Hakan Hagegard Papageno Flute Seventh Seal Institute Hour Wolf Scandinavian Virgin
2223,ingrid bergman,Rossellini swedish oscar actress Isabella film Autumn Sonata Ingmar Bergman hitchcock Roberto Larry Adler Peter Lindstrom daughter Ohlsson actor Greta rose Paula gave birth famous directed made hollywood starred history foreign fellow theatrical woman affair harmonica player alfred called gentleman
4287,inherit the wind,Scopes Monkey play Trial Spencer Tracy drama Bertram Cates Proverbs inspired film courtroom high theatre house Lawrence Darwinism school teacher troubleth based dinner John Dick York Christopher Plummer Darrow classic Harry Morgan Fredric March Genesis Hillsboro July Drummond Matthew revival
4205,ink,Louis Potassium term Mary Steenburgen Danson York Gutenberg Sepia Waterman animal invisible variety defensive store binoxalate edible fluid cuttlefish cephalopod hide liquid word Squids dark secreted crossword clue played editor reporter sitcom graphic time printer lampblack linseed formula sign contract
4262,innocent,Grafton Pope guilty proven title Turow Pelagius Homicide Alaric Rome Latin XIII Scott Presumed Innocent mystery book synonym reigned opener sequel elected called author bear sacking work alphabet lad antipope vocabulary guileless nocere harm pope-pourri knowing papal literary stupid answer
2481,innsbruck,Winter Olympics city Austrian Tyrol hosted capital Province Valley Brenner Pass Alps place February world held resort museum popular century geography scenic northern gateway people Holy Roman Empire Maximilian Folk Dorothy Hamill German River Games european videotape medal spirit town
813,insulin,hormone Frederick Langerhans Banting pancreatic body human produced Type glucose cell blood islet diabetes Prize sugar treat biology Charles Chinese Nobel American level anniversary German Genentech isolated researcher Secreted Gene discovery glucagon genetically engineered control synthesized excess medicine mark dependent
1751,intel,company computer chip pentium processor Inside Jan. Clara Santa Andrew Grove world made business Calif Robert Noyce Gordon Moore Hungarian-born Celeron describes profitable founded microchip brought museum college information laptop Integrated Electronics lead tech technology Apple Blue Macintosh Atom Shortened
4721,intelligence,select committee Permanent House smart Long psych Binet Simon Darwin Francis Galton Senate George Porter Goss Silvestre Reyes General Michael Hayden Unlike Jeopardy Intel Langley Mike Rogers James Clapper President National Director Groucho test oxymoron phrase military headed word terms
3860,interior,cabinet department harding dept Tire Albert Fish Wildlife secretary Service iron Fall Indian Affairs Bureau Office anagrammed midway division Land President warren transferred education forest Oct. Rogers Teapot Dome RITE Gale Norton Dirk Kempthorne Navy Mines General Agriculture Enforcement Fittingly
4233,inxs,Farriss Michael Hutchence devil Inside rock Tonight Australian Aussie band Brothers Kirk Pengilly Garry Beers Andrew Sensation Andy John Dave Navarro Brooke Burke Star Tragedy group singer lead album peaked late hosted show death radio form half sextet music hit
3408,io,Jupiter Moon word Zeus solar system volcanically active body volcano third-largest turned heifer Galilean Mercury goddess Holy Maori Hera Egypt Pele notice faith torment temperature degree debtor girlfriend astronomy twisting back orbit generates heat drive science shared universe small hawk
1758,iodine,element table science salt symbol goiter added antiseptic cut thyroid halogen Bernard Courtois form vapor compound source purple seaweed atomic general scratch condition periodic good chemistry solid vowel Betadine Aqua Kelp Japan sickness century demonstrated highly health tincture hormone skin
282,iowa,State Hawkeye Corn City land museum Sauk Davenport County Keokuk Dubuque River Midwest Ames tall grows delicious Indian House Mississippi ashton Moines apple university Bettendorf Cedar Rapids Illinois Amana NCAA June February Meredith Willson Mason Love Boat Fred Grandy District
89,iran,country Shah Iraq persia Farsi Pahlavi Caspian Reza world President revolution nation called Throne Islamic border April Land Peacock history language march Ahmadinejad hostage Middle city Khatami January Gulf Mosque Aryans Republic Satrapi Persepolis Elburz Afghanistan prize people Kharg winner
192,iraq,country Hussein world Mesopotamia Basra Sumer mideast nation Gulf city ancient Saddam Kuwait Persian Prime Minister President middle Bush Mosul Iran Woolley Land army Jordan oman Kurds Shiite history King Baghdad part force Sept. Eastern August back million April Babylon
21,ireland,country island World Connaught Reeks Ulster prime minister national Killarney flag European John Carrantuohill isle woman Cork Harp British kennedy Emerald Stone history Eire Macgillycuddy Samuel Beckett Meath James Joyce Tuatha Danann Bertie Gregory Charles Kells Puck Smith Swiss Tara
1495,iris,Greek flower rainbow goddess part word eye Murdoch Named share bearded color pupil body light size novelist mythology deity crocus Sable Dench Prairie Sunset Melanin Dykes Medal Tennessee Osiris Hera Botanically Adam Title Alzheimer Judi featured consists dropping letter member
146,iron,metal element earth science made cast blood rock type Ferrum ore steel abundant nutrition symbol body hematite Hemoglobin magnetite chemical latin Common Word Found Scientists Mars important primarily form alloy nickel anemia increase long stuff ship rich vitamin essential seventeen
3835,iron man,Tony Stark Robert Downey movie Marvel hero superhero film Invincible Jeff Bridges Obadiah Kingsley Mandarin alter world sequel series Comics leftover taglines prop bout plan initial starring avenger universe informed quote ironic weapon gave kill born built helmet made omnium
1539,irving berlin,Ragtime music Alexander Band american Composer song Medal Christmas Annie White Israel Baline bless oscar Easter Parade Grammy Merit Thousands Army show songwriter Gershwin Face Change Partners Fred Ginger Emmy Holiday Inn Strouse Gun Siberian-born Alley Honor Cheer melody great
2346,isaac,Abraham biblical Sarah Jacob Esau Hayes Genesis Philistines Newton father Rebecca laughter burnt offering jealousy lamb child asked bible filled drink voice clothes testament Behold Deceived Stern Hebrew Pitman Mizrahi Bashevis Singer Claude Lorrain circumcised day year party made great
2049,isaac asimov,Foundation Robot author science fiction book Trilogy Born story writer prolific Edge Nightfall sci-fi died Russia work ranger Sun year century Opus Starting David Hayden published named american classic tale collection paperback Boston University Hound Dunnit Poul Anderson Petrovichi Gods
1924,isaac newton,scientist Nature English Cambridge motion Prof. made apple light math inventor telescope prism gravity alexander Brit physic famous law knighted work shotgun powerful recoil teacher 1669-1701 curve equal opposite today similar reflector type cradle color mirror Born Opticks Voltaire Forces
2251,isabel allende,House Spirits Chilean author daughter Fortune exile president woman Memoir oprah uncle literature wrote world Luna Portrait Sepia Senses Paula Aphrodite Allende Love Shadows Barrabas Lima-born Invented Country Nostalgic Journey Salvador american died coup latin story relative pick food niece
1334,isabella,queen Spanish Castile Aragon Juana Columbus Ferdinand woman throne Accord Tores Guisando America daughter recognized teenager rule Indians historic world famous mother married King treatment pleaded died royalty heiress people rightful european passed approved voyage today past Philip Conquest reign
5133,isaiah,testament book Bible prophet Named lord longest chapter Matthew Egypt Micah Subject Yeshayahu Hebrew Mahershalalhashbaz year scroll part reference conceive plowshares wrote beat begin nudity wandered nude barefoot lad major abbreviated walked opener dead preserved author love virgin kid gave
4846,isak dinesen,Africa Karen Blixen Danish author Andrezel woman Pierre Baroness kenya west writer Hills Osceola Natives Shadows Grass Dane Angelic Avengers Male Copenhagen Rungstedlund Christence Bror SNEAKED Ngong literature relative coffee plantation world collection vignette animal raising gazelle lulu pseudonym travel
1838,ishmael,Abraham Moby Call Dick Isaac Hagar Genesis narrator Pequod Maneating Harpooner literary Arabs Muslims Rachel Ka'aba Mecca Sarah Chief Captain hand man character born world whale sail biblical thought year handmaid bible score descent book century time make starbuck birthday
1552,isis,Egyptian goddess Osiris Horus mythology Cleopatra god ancient myth called Greek mother woman temple dance daughter star group constellation Pulitzer Pompeii Seth Ruth Denis Oriental Harpokrates Eset Lucius Apuleius Spreading Argos Mrs. Shazam Nile Louvre Mideast Carina Prize Black Flags
175,islam,religion flag world faith africa Muhammad practice Arabic major green member Bangladesh represents north branch prayer called time history people population century chad middle Shiite djibouti Salat God Iblis Afghanistan Turks Mahdi Abraham Sudan Algeria Libya submission sect death follower
